CONCELHO,CÃ“DIGO,FREGUESIA
ABRANTES,140104,BEMPOSTA
ABRANTES,140105,MARTINCHEL
ABRANTES,140106,MOURISCAS
ABRANTES,140107,PEGO
ABRANTES,140108,RIO DE MOINHOS
ABRANTES,140115,TRAMAGAL
ABRANTES,140118,FONTES
ABRANTES,140119,CARVALHAL
ABRANTES,140120,ABRANTES
ABRANTES,140121,ALDEIA DO MATO
ABRANTES,140122,ALVEGA
ABRANTES,140123,SAO FACUNDO
ABRANTES,140124,SAO MIGUEL DO RIO TORTO
AGUEDA,10103,AGUADA DE CIMA
AGUEDA,10109,FERMENTELOS
AGUEDA,10112,MACINHATA DO VOUGA
AGUEDA,10119,VALONGO DO VOUGA
AGUEDA,10121,AGUEDA
AGUEDA,10122,BARRO
AGUEDA,10123,BELAZAIMA DO CHAO
AGUEDA,10124,RECARDAES
AGUEDA,10125,TRAVASSO
AGUEDA,10126,TROFA
AGUEDA,10127,PRESTIMO
AGUIAR DA BEIRA,90102,CARAPITO
AGUIAR DA BEIRA,90103,CORTICADA
AGUIAR DA BEIRA,90105,DORNELAS
AGUIAR DA BEIRA,90106,EIRADO
AGUIAR DA BEIRA,90107,FORNINHOS
AGUIAR DA BEIRA,90109,PENA VERDE
AGUIAR DA BEIRA,90110,PINHEIRO
AGUIAR DA BEIRA,90114,AGUIAR DA BEIRA
AGUIAR DA BEIRA,90115,SEQUEIROS
AGUIAR DA BEIRA,90116,SOUTO DE AGUIAR DA BEIRA
ALANDROAL,70103,SANTIAGO MAIOR
ALANDROAL,70104,CAPELINS
ALANDROAL,70105,TERENA
ALANDROAL,70107,ALANDROAL
ALBERGARIA-A-VELHA,10202,ALQUERUBIM
ALBERGARIA-A-VELHA,10203,ANGEJA
ALBERGARIA-A-VELHA,10204,BRANCA
ALBERGARIA-A-VELHA,10206,RIBEIRA DE FRAGUAS
ALBERGARIA-A-VELHA,10209,ALBERGARIA-A-VELHA
ALBERGARIA-A-VELHA,10210,SAO JOAO DE LOURE
ALBUFEIRA,80102,GUIA
ALBUFEIRA,80103,PADERNE
ALBUFEIRA,80104,FERREIRAS
ALBUFEIRA,80106,ALBUFEIRA
ALCACER DO SAL,150104,TORRAO
ALCACER DO SAL,150105,SAO MARTINHO
ALCACER DO SAL,150106,COMPORTA
ALCACER DO SAL,150107,ALCACER DO SAL
ALCANENA,140202,BUGALHOS
ALCANENA,140206,MINDE
ALCANENA,140207,MOITAS VENDA
ALCANENA,140208,MONSANTO
ALCANENA,140209,SERRA DE SANTO ANTONIO
ALCANENA,140211,ALCANENA
ALCANENA,140212,MALHOU
ALCOBACA,100102,ALFEIZERAO
ALCOBACA,100104,BARRIO
ALCOBACA,100105,BENEDITA
ALCOBACA,100106,CELA
ALCOBACA,100108,EVORA DE ALCOBACA
ALCOBACA,100109,MAIORGA
ALCOBACA,100112,SAO MARTINHO DO PORTO
ALCOBACA,100114,TURQUEL
ALCOBACA,100116,VIMEIRO
ALCOBACA,100120,ALJUBARROTA
ALCOBACA,100121,ALCOBACA
ALCOBACA,100122,COZ
ALCOBACA,100123,PATAIAS
ALCOCHETE,150201,ALCOCHETE
ALCOCHETE,150202,SAMOUCO
ALCOCHETE,150203,SAO FRANCISCO
ALCOUTIM,80202,GIOES
ALCOUTIM,80203,MARTIM LONGO
ALCOUTIM,80205,VAQUEIROS
ALCOUTIM,80206,ALCOUTIM
ALENQUER,110106,CARNOTA
ALENQUER,110107,MECA
ALENQUER,110108,OLHALVO
ALENQUER,110109,OTA
ALENQUER,110113,VENTOSA
ALENQUER,110114,VILA VERDE DOS FRANCOS
ALENQUER,110117,ABRIGADA
ALENQUER,110118,ALDEIA GALEGA DA MERCEANA
ALENQUER,110119,ALENQUER
ALENQUER,110120,CARREGADO
ALENQUER,110121,RIBAFRIA
ALFANDEGA DA FE,40102,ALFANDEGA DA FE
ALFANDEGA DA FE,40103,CEREJAIS
ALFANDEGA DA FE,40111,SAMBADE
ALFANDEGA DA FE,40118,VILAR CHAO
ALFANDEGA DA FE,40119,VILARELHOS
ALFANDEGA DA FE,40120,VILARES DE VILARICA
ALFANDEGA DA FE,40121,AGROBOM
ALFANDEGA DA FE,40122,EUCISIA
ALFANDEGA DA FE,40123,FERRADOSA
ALFANDEGA DA FE,40124,GEBELIM
ALFANDEGA DA FE,40125,PARADA
ALFANDEGA DA FE,40126,POMBAL
ALIJO,170101,ALIJO
ALIJO,170107,FAVAIOS
ALIJO,170108,PEGARINHOS
ALIJO,170109,PINHAO
ALIJO,170112,SANFINS DO DOURO
ALIJO,170113,SANTA EUGENIA
ALIJO,170114,SAO MAMEDE DE RIBATUA
ALIJO,170116,VILA CHA
ALIJO,170117,VILA VERDE
ALIJO,170118,VILAR DE MACADA
ALIJO,170120,CARLAO
ALIJO,170121,CASTEDO
ALIJO,170122,POPULO
ALIJO,170123,VALE DE MENDIZ
ALJEZUR,80301,ALJEZUR
ALJEZUR,80302,BORDEIRA
ALJEZUR,80303,ODECEIXE
ALJEZUR,80304,ROGIL
ALJUSTREL,20102,ERVIDEL
ALJUSTREL,20103,MESSEJANA
ALJUSTREL,20104,SAO JOAO DE NEGRILHOS
ALJUSTREL,20106,ALJUSTREL
ALMADA,150303,COSTA DA CAPARICA
ALMADA,150312,ALMADA
ALMADA,150313,CAPARICA
ALMADA,150314,CHARNECA DE CAPARICA
ALMADA,150315,LARANJEIRO
ALMEIDA,90203,ALMEIDA
ALMEIDA,90207,CASTELO BOM
ALMEIDA,90209,FREINEDA
ALMEIDA,90210,FREIXO
ALMEIDA,90213,MALHADA SORDA
ALMEIDA,90219,NAVE DE HAVER
ALMEIDA,90224,SAO PEDRO DE RIO SECO
ALMEIDA,90227,VALE DA MULA
ALMEIDA,90229,VILAR FORMOSO
ALMEIDA,90230,AMOREIRA
ALMEIDA,90231,AZINHAL
ALMEIDA,90232,CASTELO MENDO
ALMEIDA,90233,JUNCA
ALMEIDA,90234,LEOMIL
ALMEIDA,90235,MALPARTIDA
ALMEIDA,90236,MIUZELA
ALMEIRIM,140301,ALMEIRIM
ALMEIRIM,140302,BENFICA DO RIBATEJO
ALMEIRIM,140303,FAZENDAS DE ALMEIRIM
ALMEIRIM,140304,RAPOSA
ALMODOVAR,20203,ROSARIO
ALMODOVAR,20205,SANTA CRUZ
ALMODOVAR,20206,SAO BARNABE
ALMODOVAR,20208,ALDEIA DOS FERNANDES
ALMODOVAR,20209,ALMODOVAR
ALMODOVAR,20210,SANTA CLARA-A-NOVA
ALPIARCA,140401,ALPIARCA
ALTER DO CHAO,120101,ALTER DO CHAO
ALTER DO CHAO,120102,CHANCELARIA
ALTER DO CHAO,120103,SEDA
ALTER DO CHAO,120104,CUNHEIRA
ALVAIAZERE,100201,ALMOSTER
ALVAIAZERE,100204,MACAS DE DONA MARIA
ALVAIAZERE,100205,PELMA
ALVAIAZERE,100208,ALVAIAZERE
ALVAIAZERE,100209,PUSSOS SAO PEDRO
ALVITO,20301,ALVITO
ALVITO,20302,VILA NOVA DA BARONIA
AMADORA,111512,ALFRAGIDE
AMADORA,111513,AGUAS LIVRES
AMADORA,111514,ENCOSTA DO SOL
AMADORA,111515,FALAGUEIRA-VENDA NOVA
AMADORA,111516,MINA DE AGUA
AMADORA,111517,VENTEIRA
AMARANTE,130103,ANSIAES
AMARANTE,130107,CANDEMIL
AMARANTE,130112,FREGIM
AMARANTE,130115,FRIDAO
AMARANTE,130117,GONDAR
AMARANTE,130118,JAZENTE
AMARANTE,130119,LOMBA
AMARANTE,130120,LOUREDO
AMARANTE,130121,LUFREI
AMARANTE,130123,MANCELOS
AMARANTE,130126,PADRONELO
AMARANTE,130128,REBORDELO
AMARANTE,130129,SALVADOR DO MONTE
AMARANTE,130134,GOUVEIA
AMARANTE,130135,TELOES
AMARANTE,130136,TRAVANCA
AMARANTE,130138,VILA CAIZ
AMARANTE,130139,VILA CHA DO MARAO
AMARANTE,130141,ABOADELA
AMARANTE,130142,AMARANTE
AMARANTE,130143,BUSTELO
AMARANTE,130144,FIGUEIRO
AMARANTE,130145,FREIXO DE CIMA
AMARANTE,130146,OLO
AMARANTE,130147,REAL
AMARANTE,130148,VILA GARCIA
AMARES,30102,BARREIROS
AMARES,30104,BICO
AMARES,30105,CAIRES
AMARES,30107,CARRAZEDO
AMARES,30108,DORNELAS
AMARES,30111,FISCAL
AMARES,30112,GOAES
AMARES,30113,LAGO
AMARES,30118,RENDUFE
AMARES,30119,BOURO
AMARES,30125,AMARES
AMARES,30126,CALDELAS
AMARES,30127,FERREIROS
AMARES,30128,TORRE
AMARES,30129,VILELA
ANADIA,10304,AVELAS DE CAMINHO
ANADIA,10305,AVELAS DE CIMA
ANADIA,10307,MOITA
ANADIA,10309,SANGALHOS
ANADIA,10310,SAO LOURENCO DO BAIRRO
ANADIA,10312,VILA NOVA DE MONSARROS
ANADIA,10313,VILARINHO DO BAIRRO
ANADIA,10316,AMOREIRA DA GANDARA
ANADIA,10317,ARCOS
ANADIA,10318,TAMENGOS
ANGRA DO HEROISMO,430101,ALTARES
ANGRA DO HEROISMO,430102,ANGRA
ANGRA DO HEROISMO,430106,CINCO RIBEIRAS
ANGRA DO HEROISMO,430107,DOZE RIBEIRAS
ANGRA DO HEROISMO,430108,FETEIRA
ANGRA DO HEROISMO,430109,PORTO JUDEU
ANGRA DO HEROISMO,430110,POSTO SANTO
ANGRA DO HEROISMO,430111,RAMINHO
ANGRA DO HEROISMO,430112,RIBEIRINHA
ANGRA DO HEROISMO,430113,SANTA BARBARA
ANGRA DO HEROISMO,430114,SAO BARTOLOMEU DE REGATOS
ANGRA DO HEROISMO,430115,SAO BENTO
ANGRA DO HEROISMO,430116,SAO MATEUS DA CALHETA
ANGRA DO HEROISMO,430117,SERRETA
ANGRA DO HEROISMO,430118,TERRA CHA
ANGRA DO HEROISMO,430119,VILA DE SAO SEBASTIAO
ANSIAO,100301,ALVORGE
ANSIAO,100303,AVELAR
ANSIAO,100304,CHAO DE COUCE
ANSIAO,100306,POUSAFLORES
ANSIAO,100307,SANTIAGO DA GUARDA
ANSIAO,100309,ANSIAO
ARCOS DE VALDEVEZ,160101,ABOIM DAS CHOCAS
ARCOS DE VALDEVEZ,160102,AGUIA
ARCOS DE VALDEVEZ,160104,AZERE
ARCOS DE VALDEVEZ,160105,CABANA MAIOR
ARCOS DE VALDEVEZ,160106,CABREIRO
ARCOS DE VALDEVEZ,160108,CENDUFE
ARCOS DE VALDEVEZ,160109,COUTO
ARCOS DE VALDEVEZ,160113,GAVIEIRA
ARCOS DE VALDEVEZ,160115,GONDORIZ
ARCOS DE VALDEVEZ,160121,MIRANDA
ARCOS DE VALDEVEZ,160122,MONTE REDONDO
ARCOS DE VALDEVEZ,160123,OLIVEIRA
ARCOS DE VALDEVEZ,160124,PACO
ARCOS DE VALDEVEZ,160125,PADROSO
ARCOS DE VALDEVEZ,160128,PROZELO
ARCOS DE VALDEVEZ,160130,RIO FRIO
ARCOS DE VALDEVEZ,160131,RIO DE MOINHOS
ARCOS DE VALDEVEZ,160133,SABADIM
ARCOS DE VALDEVEZ,160142,JOLDA
ARCOS DE VALDEVEZ,160144,SENHAREI
ARCOS DE VALDEVEZ,160145,SISTELO
ARCOS DE VALDEVEZ,160146,SOAJO
ARCOS DE VALDEVEZ,160149,VALE
ARCOS DE VALDEVEZ,160152,ALVORA
ARCOS DE VALDEVEZ,160153,ARCOS DE VALDEVEZ
ARCOS DE VALDEVEZ,160155,EIRAS
ARCOS DE VALDEVEZ,160156,GRADE
ARCOS DE VALDEVEZ,160157,GUILHADESES
ARCOS DE VALDEVEZ,160159,PADREIRO
ARCOS DE VALDEVEZ,160160,PORTELA
ARCOS DE VALDEVEZ,160161,SAO JORGE
ARCOS DE VALDEVEZ,160162,SOUTO
ARCOS DE VALDEVEZ,160163,TAVORA
ARCOS DE VALDEVEZ,160164,VILELA
ARGANIL,60102,ARGANIL
ARGANIL,60104,BENFEITA
ARGANIL,60105,CELAVISA
ARGANIL,60109,FOLQUES
ARGANIL,60111,PIODAO
ARGANIL,60112,POMARES
ARGANIL,60113,POMBEIRO DA BEIRA
ARGANIL,60114,SAO MARTINHO DA CORTICA
ARGANIL,60115,SARZEDO
ARGANIL,60116,SECARIAS
ARGANIL,60119,CEPOS
ARGANIL,60120,CERDEIRA
ARGANIL,60121,COJA
ARGANIL,60122,VILA COVA DE ALVA
ARMAMAR,180101,ALDEIAS
ARMAMAR,180104,CIMBRES
ARMAMAR,180106,FOLGOSA
ARMAMAR,180107,FONTELO
ARMAMAR,180109,QUEIMADA
ARMAMAR,180110,QUEIMADELA
ARMAMAR,180111,SANTA CRUZ
ARMAMAR,180114,SAO COSMADO
ARMAMAR,180115,SAO MARTINHO DAS CHAS
ARMAMAR,180118,VACALAR
ARMAMAR,180120,ARMAMAR
ARMAMAR,180121,ARICERA
ARMAMAR,180122,SAO ROMAO
ARMAMAR,180123,VILA SECA
AROUCA,10402,ALVARENGA
AROUCA,10407,CHAVE
AROUCA,10409,ESCARIZ
AROUCA,10411,FERMEDO
AROUCA,10413,MANSORES
AROUCA,10414,MOLDES
AROUCA,10415,ROSSAS
AROUCA,10416,SANTA EULALIA
AROUCA,10417,SAO MIGUEL DO MATO
AROUCA,10418,TROPECO
AROUCA,10419,URRO
AROUCA,10420,VARZEA
AROUCA,10421,AROUCA
AROUCA,10422,CABREIROS
AROUCA,10423,CANELAS
AROUCA,10424,COVELO DE PAIVO
ARRAIOLOS,70201,ARRAIOLOS
ARRAIOLOS,70202,IGREJINHA
ARRAIOLOS,70206,VIMIEIRO
ARRAIOLOS,70208,GAFANHOEIRA
ARRAIOLOS,70209,SAO GREGORIO
ARRONCHES,120201,ASSUNCAO
ARRONCHES,120202,ESPERANCA
ARRONCHES,120203,MOSTEIROS
ARRUDA DOS VINHOS,110201,ARRANHO
ARRUDA DOS VINHOS,110202,ARRUDA DOS VINHOS
ARRUDA DOS VINHOS,110203,CARDOSAS
ARRUDA DOS VINHOS,110204,SANTIAGO DOS VELHOS
AVEIRO,10501,ARADAS
AVEIRO,10502,CACIA
AVEIRO,10505,ESGUEIRA
AVEIRO,10508,OLIVEIRINHA
AVEIRO,10510,SAO BERNARDO
AVEIRO,10511,SAO JACINTO
AVEIRO,10513,SANTA JOANA
AVEIRO,10515,EIXO
AVEIRO,10516,REQUEIXO
AVEIRO,10517,GLORIA
AVIS,120302,ALDEIA VELHA
AVIS,120303,AVIS
AVIS,120305,ERVEDAL
AVIS,120306,FIGUEIRA
AVIS,120309,ALCORREGO
AVIS,120310,BENAVILA
AZAMBUJA,110301,ALCOENTRE
AZAMBUJA,110302,AVEIRAS DE BAIXO
AZAMBUJA,110303,AVEIRAS DE CIMA
AZAMBUJA,110304,AZAMBUJA
AZAMBUJA,110306,VALE DO PARAISO
AZAMBUJA,110307,VILA NOVA DA RAINHA
AZAMBUJA,110310,MANIQUE DO INTENDENTE
BAIAO,130204,FRENDE
BAIAO,130205,GESTACO
BAIAO,130206,GOVE
BAIAO,130207,GRILO
BAIAO,130208,LOIVOS DO MONTE
BAIAO,130215,SANTA MARINHA DO ZEZERE
BAIAO,130219,VALADARES
BAIAO,130220,VIARIZ
BAIAO,130221,ANCEDE
BAIAO,130222,BAIAO
BAIAO,130223,CAMPELO
BAIAO,130224,LOIVOS DA RIBEIRA
BAIAO,130225,SANTA CRUZ DO DOURO
BAIAO,130226,TEIXEIRA
BARCELOS,30201,ABADE DE NEIVA
BARCELOS,30202,ABORIM
BARCELOS,30203,ADAES
BARCELOS,30205,AIRO
BARCELOS,30206,ALDREU
BARCELOS,30208,ALVELOS
BARCELOS,30209,ARCOZELO
BARCELOS,30210,AREIAS
BARCELOS,30212,BALUGAES
BARCELOS,30213,BARCELINHOS
BARCELOS,30215,BARQUEIROS
BARCELOS,30216,CAMBESES
BARCELOS,30218,CARAPECOS
BARCELOS,30220,CARVALHAL
BARCELOS,30221,CARVALHAS
BARCELOS,30224,COSSOURADO
BARCELOS,30228,CRISTELO
BARCELOS,30234,FORNELOS
BARCELOS,30235,FRAGOSO
BARCELOS,30237,GILMONDE
BARCELOS,30242,LAMA
BARCELOS,30243,LIJO
BARCELOS,30244,MACIEIRA DE RATES
BARCELOS,30245,MANHENTE
BARCELOS,30247,MARTIM
BARCELOS,30252,MOURE
BARCELOS,30254,OLIVEIRA
BARCELOS,30255,PALME
BARCELOS,30256,PANQUE
BARCELOS,30257,PARADELA
BARCELOS,30259,PEREIRA
BARCELOS,30260,PERELHAL
BARCELOS,30261,POUSA
BARCELOS,30263,REMELHE
BARCELOS,30264,RORIZ
BARCELOS,30265,RIO COVO
BARCELOS,30268,GALEGOS
BARCELOS,30277,TAMEL
BARCELOS,30279,SILVA
BARCELOS,30282,UCHA
BARCELOS,30283,VARZEA
BARCELOS,30287,VILA SECA
BARCELOS,30290,ALHEIRA
BARCELOS,30291,ALVITO
BARCELOS,30292,AREIAS DE VILAR
BARCELOS,30293,BARCELOS
BARCELOS,30294,CAMPO
BARCELOS,30295,CARREIRA
BARCELOS,30296,CHORENTE
BARCELOS,30297,CREIXOMIL
BARCELOS,30298,DURRAES
BARCELOS,30299,GAMIL
BARRANCOS,20401,BARRANCOS
BARREIRO,150407,SANTO ANTONIO DA CHARNECA
BARREIRO,150409,ALTO DO SEIXALINHO
BARREIRO,150410,BARREIRO
BARREIRO,150411,PALHAIS
BATALHA,100401,BATALHA
BATALHA,100402,REGUENGO DO FETAL
BATALHA,100403,SAO MAMEDE
BATALHA,100404,GOLPILHEIRA
BEJA,20502,BALEIZAO
BEJA,20503,BERINGEL
BEJA,20504,CABECA GORDA
BEJA,20506,NOSSA SENHORA DAS NEVES
BEJA,20510,SANTA CLARA DE LOUREDO
BEJA,20516,SAO MATIAS
BEJA,20519,ALBERNOA
BEJA,20520,BEJA
BEJA,20522,SALVADA
BEJA,20523,SANTA VITORIA
BEJA,20524,TRIGACHES
BELMONTE,50102,CARIA
BELMONTE,50104,INGUIAS
BELMONTE,50105,MACAINHAS
BELMONTE,50106,BELMONTE
BENAVENTE,140501,BENAVENTE
BENAVENTE,140502,SAMORA CORREIA
BENAVENTE,140503,SANTO ESTEVAO
BENAVENTE,140504,BARROSA
BOMBARRAL,100502,CARVALHAL
BOMBARRAL,100503,ROLICA
BOMBARRAL,100505,PO
BOMBARRAL,100506,BOMBARRAL
BORBA,70301,BORBA
BORBA,70302,ORADA
BORBA,70303,RIO DE MOINHOS
BOTICAS,170203,BECA
BOTICAS,170208,COVAS DO BARROSO
BOTICAS,170210,DORNELAS
BOTICAS,170213,PINHO
BOTICAS,170215,SAPIAOS
BOTICAS,170217,ALTURAS DO BARROSO
BOTICAS,170218,ARDAOS
BOTICAS,170219,BOTICAS
BOTICAS,170220,CODESSOSO
BOTICAS,170221,VILAR
BRAGA,30301,ADAUFE
BRAGA,30312,ESPINHO
BRAGA,30313,ESPOROES
BRAGA,30315,FIGUEIREDO
BRAGA,30319,GUALTAR
BRAGA,30322,LAMAS
BRAGA,30325,MIRE DE TIBAES
BRAGA,30330,PADIM DA GRACA
BRAGA,30331,PALMEIRA
BRAGA,30334,PEDRALVA
BRAGA,30336,PRISCOS
BRAGA,30338,RUILHE
BRAGA,30349,BRAGA
BRAGA,30354,SEQUEIRA
BRAGA,30355,SOBREPOSTA
BRAGA,30356,TADIM
BRAGA,30357,TEBOSA
BRAGA,30363,ARENTIM
BRAGA,30366,CABREIROS
BRAGA,30367,CELEIROS
BRAGA,30368,CRESPOS
BRAGA,30369,ESCUDEIROS
BRAGA,30370,ESTE
BRAGA,30371,FERREIROS
BRAGA,30372,GUISANDE
BRAGA,30373,LOMAR
BRAGA,30374,MERELIM
BRAGA,30376,MORREIRA
BRAGA,30377,NOGUEIRA
BRAGA,30378,NOGUEIRO
BRAGA,30379,REAL
BRAGA,30380,SANTA LUCRECIA DE ALGERIZ
BRAGA,30381,VILACA
BRAGANCA,40201,ALFAIAO
BRAGANCA,40203,BABE
BRAGANCA,40204,BACAL
BRAGANCA,40206,CARRAGOSA
BRAGANCA,40209,CASTRO DE AVELAS
BRAGANCA,40210,COELHOSO
BRAGANCA,40212,DONAI
BRAGANCA,40213,ESPINHOSELA
BRAGANCA,40215,FRANCA
BRAGANCA,40216,GIMONDE
BRAGANCA,40217,GONDESENDE
BRAGANCA,40218,GOSTEI
BRAGANCA,40219,GRIJO DE PARADA
BRAGANCA,40221,MACEDO DO MATO
BRAGANCA,40224,MOS
BRAGANCA,40225,NOGUEIRA
BRAGANCA,40226,OUTEIRO
BRAGANCA,40229,PARAMIO
BRAGANCA,40230,PINELA
BRAGANCA,40232,QUINTANILHA
BRAGANCA,40233,QUINTELA DE LAMPACAS
BRAGANCA,40234,RABAL
BRAGANCA,40236,REBORDAOS
BRAGANCA,40239,SALSAS
BRAGANCA,40240,SAMIL
BRAGANCA,40241,SANTA COMBA DE ROSSAS
BRAGANCA,40244,SAO PEDRO DE SARRACENOS
BRAGANCA,40246,SENDAS
BRAGANCA,40247,SERAPICOS
BRAGANCA,40248,SORTES
BRAGANCA,40249,ZOIO
BRAGANCA,40250,AVELEDA
BRAGANCA,40251,CASTRELOS
BRAGANCA,40252,IZEDA
BRAGANCA,40253,PARADA
BRAGANCA,40254,REBORDAINHOS
BRAGANCA,40255,RIO FRIO
BRAGANCA,40256,SAO JULIAO DE PALACIOS
BRAGANCA,40257,SE
CABECEIRAS DE BASTO,30401,ABADIM
CABECEIRAS DE BASTO,30404,BASTO
CABECEIRAS DE BASTO,30405,BUCOS
CABECEIRAS DE BASTO,30406,CABECEIRAS DE BASTO
CABECEIRAS DE BASTO,30407,CAVEZ
CABECEIRAS DE BASTO,30408,FAIA
CABECEIRAS DE BASTO,30413,PEDRACA
CABECEIRAS DE BASTO,30415,RIO DOURO
CABECEIRAS DE BASTO,30418,ALVITE
CABECEIRAS DE BASTO,30419,ARCO DE BAULHE
CABECEIRAS DE BASTO,30420,GONDIAES
CABECEIRAS DE BASTO,30421,REFOJOS DE BASTO
CADAVAL,110401,ALGUBER
CADAVAL,110407,PERAL
CADAVAL,110409,VERMELHA
CADAVAL,110410,VILAR
CADAVAL,110411,CADAVAL
CADAVAL,110412,LAMAS
CADAVAL,110413,PAINHO
CALDAS DA RAINHA,100601,A DOS FRANCOS
CALDAS DA RAINHA,100602,ALVORNINHA
CALDAS DA RAINHA,100604,CARVALHAL BENFEITO
CALDAS DA RAINHA,100606,FOZ DO ARELHO
CALDAS DA RAINHA,100607,LANDAL
CALDAS DA RAINHA,100608,NADADOURO
CALDAS DA RAINHA,100609,SALIR DE MATOS
CALDAS DA RAINHA,100611,SANTA CATARINA
CALDAS DA RAINHA,100615,VIDAIS
CALDAS DA RAINHA,100617,CALDAS DA RAINHA - NOSSA SENHORA DO POPULO
CALDAS DA RAINHA,100618,CALDAS DA RAINHA - SANTO ONOFRE
CALDAS DA RAINHA,100619,TORNADA
CALHETA,450101,CALHETA
CALHETA,450102,NORTE PEQUENO
CALHETA,450103,RIBEIRA SECA
CALHETA,450104,SANTO ANTAO
CALHETA,450105,TOPO
CALHETA,310101,ARCO DA CALHETA
CALHETA,310103,ESTREITO DA CALHETA
CALHETA,310104,FAJA DA OVELHA
CALHETA,310105,JARDIM DO MAR
CALHETA,310106,PAUL DO MAR
CALHETA,310107,PONTA DO PARGO
CALHETA,310108,PRAZERES
CAMARA DE LOBOS,310201,CAMARA DE LOBOS
CAMARA DE LOBOS,310202,CURRAL DAS FREIRAS
CAMARA DE LOBOS,310203,ESTREITO DE CAMARA DE LOBOS
CAMARA DE LOBOS,310204,QUINTA GRANDE
CAMARA DE LOBOS,310205,JARDIM DA SERRA
CAMINHA,160201,ANCORA
CAMINHA,160205,ARGELA
CAMINHA,160209,DEM
CAMINHA,160211,LANHELAS
CAMINHA,160214,RIBA DE ANCORA
CAMINHA,160215,SEIXAS
CAMINHA,160217,VILA PRAIA DE ANCORA
CAMINHA,160218,VILAR DE MOUROS
CAMINHA,160220,VILE
CAMINHA,160221,ARGA
CAMINHA,160222,CAMINHA
CAMINHA,160223,GONDAR
CAMINHA,160224,MOLEDO
CAMINHA,160225,VENADE
CAMPO MAIOR,120401,NOSSA SENHORA DA EXPECTACAO
CAMPO MAIOR,120402,NOSSA SENHORA DA GRACA DOS DEGOLADOS
CAMPO MAIOR,120403,SAO JOAO BAPTISTA
CANTANHEDE,60201,ANCA
CANTANHEDE,60203,CADIMA
CANTANHEDE,60205,CORDINHA
CANTANHEDE,60207,FEBRES
CANTANHEDE,60208,MURTEDE
CANTANHEDE,60209,OURENTA
CANTANHEDE,60214,TOCHA
CANTANHEDE,60215,SAO CAETANO
CANTANHEDE,60218,SANGUINHEIRA
CANTANHEDE,60220,CANTANHEDE
CANTANHEDE,60221,COVOES
CANTANHEDE,60222,PORTUNHOS
CANTANHEDE,60223,SEPINS
CANTANHEDE,60224,VILAMAR
CARRAZEDA DE ANSIAES,40304,CARRAZEDA DE ANSIAES
CARRAZEDA DE ANSIAES,40306,FONTE LONGA
CARRAZEDA DE ANSIAES,40308,LINHARES
CARRAZEDA DE ANSIAES,40309,MARZAGAO
CARRAZEDA DE ANSIAES,40311,PARAMBOS
CARRAZEDA DE ANSIAES,40312,PEREIROS
CARRAZEDA DE ANSIAES,40313,PINHAL DO NORTE
CARRAZEDA DE ANSIAES,40314,POMBAL
CARRAZEDA DE ANSIAES,40316,SEIXO DE ANSIAES
CARRAZEDA DE ANSIAES,40318,VILARINHO DA CASTANHEIRA
CARRAZEDA DE ANSIAES,40320,AMEDO
CARRAZEDA DE ANSIAES,40321,BELVER
CARRAZEDA DE ANSIAES,40322,CASTANHEIRO DO NORTE
CARRAZEDA DE ANSIAES,40323,LAVANDEIRA
CARREGAL DO SAL,180201,BEIJOS
CARREGAL DO SAL,180202,CABANAS DE VIRIATO
CARREGAL DO SAL,180204,OLIVEIRA DO CONDE
CARREGAL DO SAL,180206,PARADA
CARREGAL DO SAL,180208,CURRELOS
CARTAXO,140604,PONTEVEL
CARTAXO,140605,VALADA
CARTAXO,140607,VILA CHA DE OURIQUE
